         558378 function calls (525617 primitive calls) in 7.973 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2684/1    0.001    0.000    0.002    0.002 utils.py:243(tree_reduce)
        1    0.000    0.000    0.002    0.002 qwen3_next.py:1(<module>)
      9/5    0.000    0.000    0.001    0.000 configuration_utils.py:891(to_dict)
        2    0.000    0.000    0.001    0.001 __init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 qwen3_5_moe.py:23(sanitize)
        1    0.000    0.000    0.001    0.001 import_utils.py:2790(define_import_structure)
       40    0.000    0.000    0.001    0.000 switch_layers.py:161(__init__)
        1    0.000    0.000    0.001    0.001 import_utils.py:2465(create_import_structure_from_path)
       40    0.000    0.000    0.001    0.000 qwen3_next.py:162(__init__)
     6902    0.001    0.000    0.001    0.000 base.py:272(<lambda>)
     1246    0.001    0.000    0.001    0.000 inspect.py:2680(__init__)
   243/11    0.000    0.000    0.001    0.000 copy.py:198(_deepcopy_dict)
    12871    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     6863    0.001    0.000    0.001    0.000 base.py:230(valid_child_filter)
      120    0.001    0.000    0.001    0.000 switch_layers.py:94(__init__)
     1536    0.000    0.000    0.001    0.000 base.py:504(<lambda>)
     1040    0.001    0.000    0.001    0.000 positional_encoding.py:46(__call__)
    15418    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        4    0.000    0.000    0.001    0.000 dataclasses.py:478(add_fns_to_class)
    14185    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 configuration_utils.py:556(get_config_dict)
      120    0.000    0.000    0.001    0.000 inspect.py:2972(__init__)
        1    0.000    0.000    0.001    0.001 configuration_utils.py:589(_get_config_dict)
    16890    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      926    0.000    0.000    0.001    0.000 base.py:586(<lambda>)
     5142    0.000    0.000    0.001    0.000 base.py:226(is_module)
        1    0.000    0.000    0.001    0.001 base.py:304(update)
    877/1    0.000    0.000    0.001    0.001 base.py:325(apply)
       10    0.000    0.000    0.001    0.000 qwen3_next.py:82(__init__)
        1    0.000    0.000    0.001    0.001 qwen3_5.py:300(sanitize)
      926    0.000    0.000    0.001    0.000 base.py:569(_set_training_mode)
       60    0.000    0.000    0.001    0.000 inspect.py:2031(_signature_bound_method)
      879    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.001    0.001 configuration_utils.py:768(_dict_from_json_file)
       50    0.000    0.000    0.001    0.000 tokenizer_utils.py:206(add_token)
        2    0.000    0.000    0.001    0.000 import_utils.py:2423(fetch__all__)
        1    0.000    0.000    0.001    0.001 base.py:389(update_modules)
   372/10    0.000    0.000    0.001    0.000 configuration_utils.py:1009(dict_dtype_to_str)
    204/1    0.000    0.000    0.001    0.001 base.py:619(_update_modules)
      520    0.000    0.000    0.000    0.000 base.py:108(scaled_dot_product_attention)
      723    0.000    0.000    0.000    0.000 utils.py:337(class_predicate)
       60    0.000    0.000    0.000    0.000 inspect.py:3050(replace)
      101    0.000    0.000    0.000    0.000 normalization.py:134(__init__)
        1    0.000    0.000    0.000    0.000 qwen3_5_moe.py:14(from_dict)
        1    0.000    0.000    0.000    0.000 import_utils.py:2067(__getattr__)
        1    0.000    0.000    0.000    0.000 import_utils.py:2286(_get_module)
   372/10    0.000    0.000    0.000    0.000 configuration_utils.py:1026(_remove_keys_not_serialized)
        1    0.000    0.000    0.000    0.000 tokenization_utils_base.py:987(__init__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1243(_find_spec)
1156/1117    0.000    0.000    0.000    0.000 configuration_utils.py:161(__getattribute__)
     1757    0.000    0.000    0.000    0.000 generate.py:241(<lambda>)
       52    0.000    0.000    0.000    0.000 quantized.py:144(__call__)
      917    0.000    0.000    0.000    0.000 utils.py:232(<genexpr>)
     6989    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        9    0.000    0.000    0.000    0.000 configuration_utils.py:166(__init__)
        2    0.000    0.000    0.000    0.000 configuration_qwen3_5_moe.py:304(__init__)
      180    0.000    0.000    0.000    0.000 inspect.py:1910(_signature_get_user_defined_method)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:509(_compile_bytecode)
       94    0.000    0.000    0.000    0.000 {built-in method posix.stat}
     6634    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1284(find_spec)
       11    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1255(_get_spec)
       11    0.000    0.000    0.000    0.000 {built-in method _io.open}
        1    0.000    0.000    0.000    0.000 tokenization_utils_tokenizers.py:1223(_patch_mistral_regex)
       30    0.000    0.000    0.000    0.000 convolution.py:34(__init__)
     4650    0.000    0.000    0.000    0.000 cache.py:607(__getitem__)
    607/1    0.000    0.000    0.000    0.000 configuration_utils.py:776(_encode_special_floats)
     7622    0.000    0.000    0.000    0.000 base.py:270(<lambda>)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1357(find_spec)
     3120    0.000    0.000    0.000    0.000 cache.py:604(__setitem__)
       50    0.000    0.000    0.000    0.000 tokenizer_utils.py:185(_decode_bytes)
       11    0.000    0.000    0.000    0.000 __init__.py:330(_compile)
     3640    0.000    0.000    0.000    0.000 base.py:66(training)
        2    0.000    0.000    0.000    0.000 configuration_utils.py:1201(recursive_diff_dict)
       60    0.000    0.000    0.000    0.000 dataclasses.py:825(_get_field)
       52    0.000    0.000    0.000    0.000 base.py:45(create_attention_mask)
     1249    0.000    0.000    0.000    0.000 enum.py:677(__call__)
    592/1    0.000    0.000    0.000    0.000 configuration_utils.py:801(_decode_special_floats)
       11    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
        3    0.000    0.000    0.000    0.000 configuration_qwen3_5_moe.py:145(__init__)
        3    0.000    0.000    0.000    0.000 _compiler.py:757(compile)
        1    0.000    0.000    0.000    0.000 glob.py:16(glob)
        1    0.000    0.000    0.000    0.000 tokenization_auto.py:430(get_tokenizer_config)
        5    0.000    0.000    0.000    0.000 glob.py:69(_iglob)
     1851    0.000    0.000    0.000    0.000 base.py:293(<lambda>)
     1787    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
  358/323    0.000    0.000    0.000    0.000 configuration_utils.py:156(__setattr__)
        1    0.000    0.000    0.000    0.000 glob.py:114(_glob1)
4083/4076    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       30    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        2    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        9    0.000    0.000    0.000    0.000 hub.py:208(extract_commit_hash)
      300    0.000    0.000    0.000    0.000 inspect.py:663(unwrap)
     1306    0.000    0.000    0.000    0.000 inspect.py:3027(<genexpr>)
        7    0.000    0.000    0.000    0.000 __init__.py:174(search)
       10    0.000    0.000    0.000    0.000 hub.py:222(cached_file)
        4    0.000    0.000    0.000    0.000 inspect.py:3255(__str__)
        4    0.000    0.000    0.000    0.000 inspect.py:3258(format)
        1    0.000    0.000    0.000    0.000 fnmatch.py:53(filter)
        3    0.000    0.000    0.000    0.000 _parser.py:963(parse)
    76/64    0.000    0.000    0.000    0.000 annotationlib.py:907(get_annotations)
        1    0.000    0.000    0.000    0.000 fnmatch.py:42(_compile_pattern)
