         165190 function calls (158580 primitive calls) in 2.098 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:509(_compile_bytecode)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:947(get_data)
        1    0.000    0.000    0.000    0.000 configuration_utils.py:589(_get_config_dict)
       10    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.000    0.000 tokenization_utils_tokenizers.py:1223(_patch_mistral_regex)
      365    0.000    0.000    0.000    0.000 base.py:586(<lambda>)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1357(find_spec)
     6137    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       11    0.000    0.000    0.000    0.000 __init__.py:330(_compile)
     4187    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       52    0.000    0.000    0.000    0.000 base.py:45(create_attention_mask)
       58    0.000    0.000    0.000    0.000 dataclasses.py:825(_get_field)
       61    0.000    0.000    0.000    0.000 normalization.py:134(__init__)
       10    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
      362    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      365    0.000    0.000    0.000    0.000 base.py:569(_set_training_mode)
     1098    0.000    0.000    0.000    0.000 enum.py:677(__call__)
        3    0.000    0.000    0.000    0.000 _compiler.py:757(compile)
        2    0.000    0.000    0.000    0.000 configuration_utils.py:1201(recursive_diff_dict)
        3    0.000    0.000    0.000    0.000 configuration_qwen3_5.py:131(__init__)
       52    0.000    0.000    0.000    0.000 embedding.py:31(__call__)
  343/308    0.000    0.000    0.000    0.000 configuration_utils.py:156(__setattr__)
        1    0.000    0.000    0.000    0.000 import_utils.py:2067(__getattr__)
        1    0.000    0.000    0.000    0.000 glob.py:16(glob)
        1    0.000    0.000    0.000    0.000 import_utils.py:2286(_get_module)
        2    0.000    0.000    0.000    0.000 glob.py:69(_iglob)
        1    0.000    0.000    0.000    0.000 base.py:304(update)
     1370    0.000    0.000    0.000    0.000 base.py:272(<lambda>)
    360/1    0.000    0.000    0.000    0.000 base.py:325(apply)
       28    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.000    0.000 glob.py:114(_glob1)
  498/459    0.000    0.000    0.000    0.000 configuration_utils.py:161(__getattribute__)
     2168    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
     1744    0.000    0.000    0.000    0.000 qwen3_5.py:321(<genexpr>)
       18    0.000    0.000    0.000    0.000 convolution.py:34(__init__)
      384    0.000    0.000    0.000    0.000 utils.py:232(<genexpr>)
        3    0.000    0.000    0.000    0.000 inspect.py:3255(__str__)
      265    0.000    0.000    0.000    0.000 inspect.py:663(unwrap)
        3    0.000    0.000    0.000    0.000 inspect.py:3258(format)
     1148    0.000    0.000    0.000    0.000 inspect.py:3027(<genexpr>)
        3    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        7    0.000    0.000    0.000    0.000 __init__.py:174(search)
        1    0.000    0.000    0.000    0.000 fnmatch.py:53(filter)
       10    0.000    0.000    0.000    0.000 hub.py:222(cached_file)
        9    0.000    0.000    0.000    0.000 hub.py:208(extract_commit_hash)
        3    0.000    0.000    0.000    0.000 _parser.py:963(parse)
     2348    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 fnmatch.py:42(_compile_pattern)
    65/56    0.000    0.000    0.000    0.000 annotationlib.py:907(get_annotations)
        4    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      936    0.000    0.000    0.000    0.000 base.py:66(training)
       10    0.000    0.000    0.000    0.000 hub.py:282(cached_files)
      5/3    0.000    0.000    0.000    0.000 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.000    0.000 configuration_utils.py:768(_dict_from_json_file)
       84    0.000    0.000    0.000    0.000 dataclasses.py:766(_is_type)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
        1    0.000    0.000    0.000    0.000 __init__.py:287(compile)
       58    0.000    0.000    0.000    0.000 inspect.py:2770(_format)
    65/56    0.000    0.000    0.000    0.000 annotationlib.py:1131(_get_dunder_annotations)
      5/3    0.000    0.000    0.000    0.000 _parser.py:512(_parse)
       35    0.000    0.000    0.000    0.000 <frozen genericpath>:48(isdir)
        3    0.000    0.000    0.000    0.000 configuration_qwen3_5.py:204(__init__)
        1    0.000    0.000    0.000    0.000 tokenization_utils_base.py:1202(add_tokens)
     2030    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       52    0.000    0.000    0.000    0.000 cache.py:391(make_mask)
      685    0.000    0.000    0.000    0.000 base.py:230(valid_child_filter)
       52    0.000    0.000    0.000    0.000 embedding.py:34(as_linear)
        1    0.000    0.000    0.000    0.000 tokenization_utils_tokenizers.py:691(_add_tokens)
1155/1148    0.000    0.000    0.000    0.000 {built-in method builtins.len}
